#
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 12MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K @60fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7056696
EAN;6971409202286
Marca;BLACK SHARK
Modelo;Black Shark 2 Pro
Garantía;2 años
Color;Shadow Black
Peso;205 g
Altura;16.4
Ancho;7.5
Profundidad;0.88
RAM;12 GB
Memoria interna;256 GB
Memoria externa;No
Potencia de la batería;4000 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Adaptador carga rápida, cable USB-C
Más información;Refrigeración líquida 3.0+
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-black-shark-2-pro-6-39-12-gb-256-gb-negro-7056696
#
imagen;https://www.worten.es//i/ca79c682dee3d36394d292ae42ef63e9872b4861.jpg
nombre;Smartphone WIKO Y60 (5.45'' - 1 GB - 16 GB - bleen)
precio;79,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;IMG PowerVR GE8100
Núcleos;Quad-Core
Velocidad del procesador;1.3 GHz, Cortex-A53
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;5.45
Tecnología de la pantalla;LCD
Resolución de la pantalla;VGA
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;1
Número de cámaras frontales;1
Resolución de la cámara trasera;5 MP
Resolución de la cámara frontal;5 MP
Flash integrado;Sí
Grabación de vídeo;1080p@30fps
Sensores;Acelerómetro | Brújula | Sensor de Proximidad
Sensor de huellas dactilares;No
Inteligencia artificial;No
Reconocimiento facial;No
Referencia;6899420
EAN;6943279420749
Marca;WIKO
Modelo;Y60
Garantía;2 años
Color;Bleen
Peso;178 g
Altura;14.7
Ancho;7.2
Profundidad;0.93
RAM;1 GB
Memoria interna;16 GB
Memoria externa;hasta 128GB
Potencia de la batería;2500 mAh
Entrada del cargador;MicroUSB
Contenido extra incluido en la caja;carcasa
