almacenamiento,imagen,nombre,precio,ram,sistemaOperativo,url
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81987984/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Note-10----Blanco--256-GB--12-GB-RAM--6.8%22-WQHD---Exynos-9825--4300-mAh--Android, Móvil - Samsung Galaxy Note 10 +,999,1,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-note-10-blanco-256-gb-12-gb-ram-6-8-wqhd-exynos-9825-4300-mah-android-1461511.html
32,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-82313825/fee_325_225_png/M%C3%B3vil---Honor-8A--Azul--32-GB--2-GB-RAM--6.09%22-HD---MT6765--3020-mAh--Android, Móvil - Honor 8A,119,2,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-honor-8a-azul-32-gb-2-gb-ram-6-09-hd-mt6765-3020-mah-android-1464852.html
256,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-79284593/fee_325_225_png/Apple-iPhone-XS--Plata--256-GB--4-GB-RAM--5.8%22-OLED-Super-Retina-HD--Chip-A12-Bionic--iOS, Apple iPhone XS,910,4,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-xs-plata-256-gb-4-gb-ram-5-8-oled-super-retina-hd-chip-a12-bionic-ios-1433032.html
64,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71637938/fee_325_225_png/Apple-iPhone-XR--Amarillo--64-GB--3-GB-RAM--6.1%22-Liquid-Retina-HD--Chip-A12-Bionic--iOS, Apple iPhone XR,693,3,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-xr-amarillo-64-gb-3-gb-ram-6-1-liquid-retina-hd-chip-a12-bionic-ios-1433012.html
32,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71690433/fee_325_225_png/M%C3%B3vil---Huawei-Y6S--Negro--32-GB--3-GB-RAM--6.09%22-HD---MTK-MT6765--3020-mAh--Android, Móvil - Huawei Y6S,129,3,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-y6s-negro-32-gb-3-gb-ram-6-09-hd-mtk-mt6765-3020-mah-android-1470936.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_69824869/fee_325_225_png/M%C3%B3vil---Huawei-Nova-5T--Violeta--128-GB--6-GB-RAM--6.26%22-Full-HD---Kirin-980--3750-mAh--Android, Móvil - Huawei Nova 5T,299,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-nova-5t-violeta-128-gb-6-gb-ram-6-26-full-hd-kirin-980-3750-mah-android-1466007.html
Plano,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81241250/fee_325_225_png/TV-LED-55%22---LG-55UM7450PLA--Panel-IPS-UHD-4K--Smart-TV-IA--Quad-Core--Sonido-DTS-Virtual%3A-X," TV LED 55"" - LG 55UM7450PLA",449,n,LED,https://www.mediamarkt.es/es/product/_tv-led-55-lg-55um7450pla-panel-ips-uhd-4k-smart-tv-ia-quad-core-sonido-dts-virtual-x-1453792.html
Cable,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-71651953/fee_325_225_png/Auriculares-con-cable---Beats-EP--Jack-3.55mm--Aislamento-de-ruido--Negro, Auriculares con cable - Beats EP,59.9,S,Supraaurales,https://www.mediamarkt.es/es/product/_auriculares-con-cable-beats-ep-jack-3-55mm-aislamento-de-ruido-negro-1344988.html
Plano,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81241231/fee_325_225_png/TV-LED-65%22---LG-65UM7450PLA--Panel-IPS-UHD-4K--Smart-TV-IA--Quad-Core--Sonido-DTS-Virtual%3A-X," TV LED 65"" - LG 65UM7450PLA",689,n,LED,https://www.mediamarkt.es/es/product/_tv-led-65-lg-65um7450pla-panel-ips-uhd-4k-smart-tv-ia-quad-core-sonido-dts-virtual-x-1453791.html
Plano,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81628308/fee_325_225_png/TV-LED-65%22---Panasonic-TX-65GX700E--UHD-4K--Smart-TV--Multi-HDR--Adaptive-Backlight-Dimming," TV LED 65"" - Panasonic TX-65GX700E",599,n,LED,https://www.mediamarkt.es/es/product/_tv-led-65-panasonic-tx-65gx700e-uhd-4k-smart-tv-multi-hdr-adaptive-backlight-dimming-1454736.html
